image_idx,image_name,level,rank,base_neuron,base_act,lora_neuron,lora_act,match,base_neuron_in_lora_rank,lora_neuron_in_base_rank
7,Abyssinian_105.jpg,patch88,1,38515,1.3817,38515,1.3351,True,1,1
7,Abyssinian_105.jpg,patch88,2,22355,0.8434,5852,0.8369,False,3,5
7,Abyssinian_105.jpg,patch88,3,3642,0.8116,22355,0.7714,False,,2
7,Abyssinian_105.jpg,patch88,4,34966,0.7349,29095,0.7629,False,5,
7,Abyssinian_105.jpg,patch88,5,5852,0.7027,34966,0.7188,False,2,4
8,Abyssinian_106.jpg,global,1,2099,22.5263,2099,22.6343,True,1,1
8,Abyssinian_106.jpg,global,2,38459,22.065,38459,22.1922,True,2,2
8,Abyssinian_106.jpg,global,3,4594,16.644,4594,16.6358,True,3,3
8,Abyssinian_106.jpg,global,4,41801,14.5188,41801,14.5323,True,4,4
8,Abyssinian_106.jpg,global,5,33331,8.8377,33331,8.9579,True,5,5
8,Abyssinian_106.jpg,patch88,1,38515,1.8414,38515,1.8329,True,1,1
8,Abyssinian_106.jpg,patch88,2,25939,1.3762,25939,1.3301,True,2,2
8,Abyssinian_106.jpg,patch88,3,22396,1.0511,22396,1.0188,True,3,3
8,Abyssinian_106.jpg,patch88,4,23000,0.9289,23000,0.9343,True,4,4
8,Abyssinian_106.jpg,patch88,5,29095,0.8717,29095,0.8762,True,5,5
9,Abyssinian_107.jpg,global,1,2099,22.3053,2099,22.4783,True,1,1
9,Abyssinian_107.jpg,global,2,38459,22.1982,38459,22.3624,True,2,2
9,Abyssinian_107.jpg,global,3,4594,16.5168,4594,16.537,True,3,3
9,Abyssinian_107.jpg,global,4,41801,14.148,41801,14.2661,True,4,4
9,Abyssinian_107.jpg,global,5,33331,9.1779,33331,9.2678,True,5,5
9,Abyssinian_107.jpg,patch88,1,38515,1.6248,38515,1.6311,True,1,1
9,Abyssinian_107.jpg,patch88,2,41838,1.2241,25790,1.1671,False,3,3
9,Abyssinian_107.jpg,patch88,3,25790,1.1681,41838,1.1474,False,2,2
9,Abyssinian_107.jpg,patch88,4,34321,0.9617,34321,1.0125,True,4,4
9,Abyssinian_107.jpg,patch88,5,17271,0.8133,17271,0.8342,True,5,5
10,Abyssinian_108.jpg,global,1,38459,20.1338,38459,20.4983,True,1,1
10,Abyssinian_108.jpg,global,2,2099,19.8738,2099,20.259,True,2,2
10,Abyssinian_108.jpg,global,3,4594,14.1994,4594,14.3634,True,3,3
10,Abyssinian_108.jpg,global,4,41801,11.4763,41801,11.8003,True,4,4
10,Abyssinian_108.jpg,global,5,33331,8.2071,33331,8.4094,True,5,5
10,Abyssinian_108.jpg,patch88,1,38515,1.727,38515,1.7553,True,1,1
10,Abyssinian_108.jpg,patch88,2,34321,0.8788,34321,0.9346,True,2,2
10,Abyssinian_108.jpg,patch88,3,25702,0.8523,25702,0.8221,True,3,3
10,Abyssinian_108.jpg,patch88,4,3478,0.7603,3478,0.7541,True,4,4
10,Abyssinian_108.jpg,patch88,5,29095,0.702,29095,0.7213,True,5,5
11,Abyssinian_109.jpg,global,1,2099,21.1709,2099,22.2009,True,1,1
11,Abyssinian_109.jpg,global,2,38459,21.0606,38459,21.8938,True,2,2
11,Abyssinian_109.jpg,global,3,4594,15.0542,4594,15.7719,True,3,3
11,Abyssinian_109.jpg,global,4,41801,13.0067,41801,13.9797,True,4,4
11,Abyssinian_109.jpg,global,5,33331,8.4577,33331,8.8934,True,5,5
11,Abyssinian_109.jpg,patch88,1,14725,1.8191,14725,1.734,True,1,1
11,Abyssinian_109.jpg,patch88,2,44703,1.8024,44703,1.7331,True,2,2
11,Abyssinian_109.jpg,patch88,3,46206,1.1355,46206,1.2462,True,3,3
11,Abyssinian_109.jpg,patch88,4,38515,1.0483,38515,1.0257,True,4,4
11,Abyssinian_109.jpg,patch88,5,21866,1.0434,22691,1.0147,False,,
12,Abyssinian_11.jpg,global,1,2099,22.0918,2099,22.2181,True,1,1
12,Abyssinian_11.jpg,global,2,38459,21.5918,38459,21.7748,True,2,2
12,Abyssinian_11.jpg,global,3,4594,17.1466,4594,17.0465,True,3,3
12,Abyssinian_11.jpg,global,4,41801,14.0046,41801,13.971,True,4,4
12,Abyssinian_11.jpg,global,5,33331,8.411,33331,8.5836,True,5,5
12,Abyssinian_11.jpg,patch88,1,38515,1.7093,38515,1.7105,True,1,1
12,Abyssinian_11.jpg,patch88,2,19905,1.0187,19905,1.0794,True,2,2
12,Abyssinian_11.jpg,patch88,3,34321,0.9843,34321,1.0018,True,3,3
12,Abyssinian_11.jpg,patch88,4,3478,0.9299,3478,0.9309,True,4,4
12,Abyssinian_11.jpg,patch88,5,29767,0.8918,25790,0.8992,False,,
13,Abyssinian_110.jpg,global,1,38459,21.6968,38459,21.6042,True,1,1
13,Abyssinian_110.jpg,global,2,2099,21.6483,2099,21.4556,True,2,2
13,Abyssinian_110.jpg,global,3,4594,15.5188,4594,15.185,True,3,3
13,Abyssinian_110.jpg,global,4,41801,13.3593,41801,13.073,True,4,4
13,Abyssinian_110.jpg,global,5,33331,9.1403,33331,9.1404,True,5,5
13,Abyssinian_110.jpg,patch88,1,16914,2.1635,16914,2.1602,True,1,1
13,Abyssinian_110.jpg,patch88,2,38515,1.7291,38515,1.7522,True,2,2
13,Abyssinian_110.jpg,patch88,3,33495,1.0319,34321,1.0522,False,5,4
13,Abyssinian_110.jpg,patch88,4,34321,1.0083,25790,1.0116,False,3,5
13,Abyssinian_110.jpg,patch88,5,25790,1.0033,33495,0.9674,False,4,3
14,Abyssinian_111.jpg,global,1,38459,20.6619,38459,20.9207,True,1,1
14,Abyssinian_111.jpg,global,2,2099,20.5886,2099,20.8809,True,2,2
14,Abyssinian_111.jpg,global,3,4594,14.9576,4594,15.1108,True,3,3
14,Abyssinian_111.jpg,global,4,41801,12.3934,41801,12.6337,True,4,4
14,Abyssinian_111.jpg,global,5,33331,8.3297,33331,8.4742,True,5,5
14,Abyssinian_111.jpg,patch88,1,38459,14.9176,38459,14.706,True,1,1
14,Abyssinian_111.jpg,patch88,2,2099,12.9524,2099,12.6583,True,2,2
14,Abyssinian_111.jpg,patch88,3,4594,7.7783,4594,7.418,True,3,3
14,Abyssinian_111.jpg,patch88,4,33331,5.6977,133,5.7781,False,5,5
14,Abyssinian_111.jpg,patch88,5,133,5.612,33331,5.6208,False,4,4
15,Abyssinian_112.jpg,global,1,38459,20.0078,38459,20.3204,True,1,1
15,Abyssinian_112.jpg,global,2,2099,19.2332,2099,19.5158,True,2,2
15,Abyssinian_112.jpg,global,3,4594,13.5248,4594,13.111,True,3,3
15,Abyssinian_112.jpg,global,4,41801,10.6739,41801,10.3935,True,4,4
15,Abyssinian_112.jpg,global,5,33331,8.2571,33331,8.4183,True,5,5
15,Abyssinian_112.jpg,patch88,1,38515,1.5925,38515,1.5892,True,1,1
15,Abyssinian_112.jpg,patch88,2,41838,1.2786,23127,1.302,False,3,3
15,Abyssinian_112.jpg,patch88,3,23127,1.2749,41838,1.1499,False,2,2
15,Abyssinian_112.jpg,patch88,4,25790,1.0736,25790,1.0518,True,4,4
15,Abyssinian_112.jpg,patch88,5,12477,0.7986,34321,0.8174,False,,
16,Abyssinian_113.jpg,global,1,2099,20.9991,2099,21.1357,True,1,1
16,Abyssinian_113.jpg,global,2,38459,20.6924,38459,20.8445,True,2,2
16,Abyssinian_113.jpg,global,3,4594,16.1477,4594,16.1741,True,3,3
16,Abyssinian_113.jpg,global,4,41801,13.0377,41801,13.1166,True,4,4
16,Abyssinian_113.jpg,global,5,33331,8.2013,33331,8.305,True,5,5
16,Abyssinian_113.jpg,patch88,1,38515,1.5466,38515,1.5503,True,1,1
16,Abyssinian_113.jpg,patch88,2,25790,1.2478,25790,1.1708,True,2,2
16,Abyssinian_113.jpg,patch88,3,34321,1.0164,34321,0.9951,True,3,3
16,Abyssinian_113.jpg,patch88,4,29095,0.9171,29095,0.9392,True,4,4
16,Abyssinian_113.jpg,patch88,5,30086,0.8867,30086,0.8783,True,5,5
17,Abyssinian_114.jpg,global,1,2099,20.4182,38459,20.4232,False,2,2
17,Abyssinian_114.jpg,global,2,38459,20.3718,2099,20.4222,False,1,1
17,Abyssinian_114.jpg,global,3,4594,15.5464,4594,15.4655,True,3,3
17,Abyssinian_114.jpg,global,4,41801,12.2537,41801,12.1785,True,4,4
17,Abyssinian_114.jpg,global,5,33331,8.3683,33331,8.4417,True,5,5
17,Abyssinian_114.jpg,patch88,1,31344,2.2437,31344,2.1394,True,1,1
17,Abyssinian_114.jpg,patch88,2,38515,1.6603,38515,1.6266,True,2,2
17,Abyssinian_114.jpg,patch88,3,25790,1.0462,25790,1.0517,True,3,3
17,Abyssinian_114.jpg,patch88,4,25702,1.0358,34321,1.0365,False,5,5
17,Abyssinian_114.jpg,patch88,5,34321,1.0116,25702,0.987,False,4,4
18,Abyssinian_115.jpg,global,1,38459,19.6567,38459,19.857,True,1,1
18,Abyssinian_115.jpg,global,2,2099,19.3141,2099,19.6366,True,2,2
18,Abyssinian_115.jpg,global,3,4594,13.8092,4594,14.2316,True,3,3
18,Abyssinian_115.jpg,global,4,41801,10.9949,41801,11.4126,True,4,4
18,Abyssinian_115.jpg,global,5,33331,8.0675,33331,8.1736,True,5,5
18,Abyssinian_115.jpg,patch88,1,38515,1.4612,38515,1.4539,True,1,1
18,Abyssinian_115.jpg,patch88,2,29767,0.9591,29767,0.9616,True,2,2
18,Abyssinian_115.jpg,patch88,3,34321,0.9314,34321,0.9501,True,3,3
18,Abyssinian_115.jpg,patch88,4,8325,0.8187,31199,0.8591,False,5,5
18,Abyssinian_115.jpg,patch88,5,31199,0.8087,8325,0.8044,False,4,4
19,Abyssinian_116.jpg,global,1,2099,21.2984,2099,21.9111,True,1,1
19,Abyssinian_116.jpg,global,2,38459,21.2544,38459,21.7477,True,2,2
19,Abyssinian_116.jpg,global,3,4594,15.4825,4594,15.9331,True,3,3
19,Abyssinian_116.jpg,global,4,41801,13.3137,41801,13.9031,True,4,4
19,Abyssinian_116.jpg,global,5,33331,8.5888,33331,8.8341,True,5,5
19,Abyssinian_116.jpg,patch88,1,38515,1.6301,38515,1.6081,True,1,1
19,Abyssinian_116.jpg,patch88,2,25790,0.9711,25790,0.9444,True,2,2
