image_idx,image_name,image_path,global_top1_same,global_base_top1_neuron,global_base_top1_act,global_lora_top1_neuron,global_lora_top1_act,global_base_top5,global_base_top5_acts,global_lora_top5,global_lora_top5_acts,global_top5_overlap,global_top5_overlap,global_unique_to_base,global_unique_to_lora,patch88_top1_same,patch88_base_top1_neuron,patch88_base_top1_act,patch88_lora_top1_neuron,patch88_lora_top1_act,patch88_base_top5,patch88_base_top5_acts,patch88_lora_top5,patch88_lora_top5_acts,patch88_top5_overlap,patch88_top5_overlap,patch88_unique_to_base,patch88_unique_to_lora,patch88_l2_diff,patch88_max_abs_diff,patch88_mean_abs_diff,patch88_changed1_neuron,patch88_changed1_base,patch88_changed1_lora,patch88_changed1_delta,patch88_changed2_neuron,patch88_changed2_base,patch88_changed2_lora,patch88_changed2_delta,patch88_changed3_neuron,patch88_changed3_base,patch88_changed3_lora,patch88_changed3_delta,patch88_changed4_neuron,patch88_changed4_base,patch88_changed4_lora,patch88_changed4_delta,patch88_changed5_neuron,patch88_changed5_base,patch88_changed5_lora,patch88_changed5_delta
10,Abyssinian_108.jpg,/home/sunayana/Documents/Concept_LoRA/data/OxfordPets/images/Abyssinian_108.jpg,True,38459,20.1338,38459,20.4983,"[38459, 2099, 4594, 41801, 33331]","[20.1338, 19.8738, 14.1994, 11.4763, 8.2071]","[38459, 2099, 4594, 41801, 33331]","[20.4983, 20.259, 14.3634, 11.8003, 8.4094]",5,5,[],[],True,38515,1.727,38515,1.7553,"[38515, 34321, 25702, 3478, 29095]","[1.727, 0.8788, 0.8523, 0.7603, 0.702]","[38515, 34321, 25702, 3478, 29095]","[1.7553, 0.9346, 0.8221, 0.7541, 0.7213]",5,5,[],[],0.4261,0.1842,0.000102,41838,0.6854,0.5012,0.1842,33023,0.6017,0.4901,0.1115,14659,0.2605,0.1745,0.086,8266,0.5196,0.442,0.0776,6690,0.1337,0.0572,0.0765
11,Abyssinian_109.jpg,/home/sunayana/Documents/Concept_LoRA/data/OxfordPets/images/Abyssinian_109.jpg,True,2099,21.1709,2099,22.2009,"[2099, 38459, 4594, 41801, 33331]","[21.1709, 21.0606, 15.0542, 13.0067, 8.4577]","[2099, 38459, 4594, 41801, 33331]","[22.2009, 21.8938, 15.7719, 13.9797, 8.8934]",5,5,[],[],True,14725,1.8191,14725,1.734,"[14725, 44703, 46206, 38515, 21866]","[1.8191, 1.8024, 1.1355, 1.0483, 1.0434]","[14725, 44703, 46206, 38515, 22691]","[1.734, 1.7331, 1.2462, 1.0257, 1.0147]",4,4,[21866],[22691],0.7389,0.2039,0.000153,15196,0.539,0.335,0.2039,22691,0.8175,1.0147,0.1972,17466,0.276,0.4391,0.1631,34765,0.2137,0.3708,0.157,40713,0.2037,0.3582,0.1545
12,Abyssinian_11.jpg,/home/sunayana/Documents/Concept_LoRA/data/OxfordPets/images/Abyssinian_11.jpg,True,2099,22.0918,2099,22.2181,"[2099, 38459, 4594, 41801, 33331]","[22.0918, 21.5918, 17.1466, 14.0046, 8.411]","[2099, 38459, 4594, 41801, 33331]","[22.2181, 21.7748, 17.0465, 13.971, 8.5836]",5,5,[],[],True,38515,1.7093,38515,1.7105,"[38515, 19905, 34321, 3478, 29767]","[1.7093, 1.0187, 0.9843, 0.9299, 0.8918]","[38515, 19905, 34321, 3478, 25790]","[1.7105, 1.0794, 1.0018, 0.9309, 0.8992]",4,4,[29767],[25790],0.8821,0.3327,0.00024,26886,0.4847,0.152,0.3327,13454,0.4253,0.2389,0.1864,14613,0.6996,0.5238,0.1759,39004,0.1662,0.0,0.1662,48820,0.7731,0.6311,0.142
13,Abyssinian_110.jpg,/home/sunayana/Documents/Concept_LoRA/data/OxfordPets/images/Abyssinian_110.jpg,True,38459,21.6968,38459,21.6042,"[38459, 2099, 4594, 41801, 33331]","[21.6968, 21.6483, 15.5188, 13.3593, 9.1403]","[38459, 2099, 4594, 41801, 33331]","[21.6042, 21.4556, 15.185, 13.073, 9.1404]",5,5,[],[],True,16914,2.1635,16914,2.1602,"[16914, 38515, 33495, 34321, 25790]","[2.1635, 1.7291, 1.0319, 1.0083, 1.0033]","[16914, 38515, 34321, 25790, 33495]","[2.1602, 1.7522, 1.0522, 1.0116, 0.9674]",5,5,[],[],0.3977,0.1104,9.7e-05,6466,0.6919,0.5816,0.1104,14615,0.3421,0.4463,0.1042,20516,0.4978,0.4132,0.0846,32277,0.0116,0.092,0.0805,33495,1.0319,0.9674,0.0645
14,Abyssinian_111.jpg,/home/sunayana/Documents/Concept_LoRA/data/OxfordPets/images/Abyssinian_111.jpg,True,38459,20.6619,38459,20.9207,"[38459, 2099, 4594, 41801, 33331]","[20.6619, 20.5886, 14.9576, 12.3934, 8.3297]","[38459, 2099, 4594, 41801, 33331]","[20.9207, 20.8809, 15.1108, 12.6337, 8.4742]",5,5,[],[],True,38459,14.9176,38459,14.706,"[38459, 2099, 4594, 33331, 133]","[14.9176, 12.9524, 7.7783, 5.6977, 5.612]","[38459, 2099, 4594, 133, 33331]","[14.706, 12.6583, 7.418, 5.7781, 5.6208]",5,5,[],[],0.8338,0.3603,0.000138,4594,7.7783,7.418,0.3603,41801,3.9846,3.6898,0.2948,2099,12.9524,12.6583,0.2941,20407,1.2968,1.588,0.2912,3874,4.6536,4.9087,0.2551
15,Abyssinian_112.jpg,/home/sunayana/Documents/Concept_LoRA/data/OxfordPets/images/Abyssinian_112.jpg,True,38459,20.0078,38459,20.3204,"[38459, 2099, 4594, 41801, 33331]","[20.0078, 19.2332, 13.5248, 10.6739, 8.2571]","[38459, 2099, 4594, 41801, 33331]","[20.3204, 19.5158, 13.111, 10.3935, 8.4183]",5,5,[],[],True,38515,1.5925,38515,1.5892,"[38515, 41838, 23127, 25790, 12477]","[1.5925, 1.2786, 1.2749, 1.0736, 0.7986]","[38515, 23127, 41838, 25790, 34321]","[1.5892, 1.302, 1.1499, 1.0518, 0.8174]",4,4,[12477],[34321],0.3588,0.1287,8.1e-05,41838,1.2786,1.1499,0.1287,31199,0.0775,0.1613,0.0838,35077,0.0266,0.0983,0.0716,19794,0.0095,0.0778,0.0683,44867,0.0633,0.0,0.0633
16,Abyssinian_113.jpg,/home/sunayana/Documents/Concept_LoRA/data/OxfordPets/images/Abyssinian_113.jpg,True,2099,20.9991,2099,21.1357,"[2099, 38459, 4594, 41801, 33331]","[20.9991, 20.6924, 16.1477, 13.0377, 8.2013]","[2099, 38459, 4594, 41801, 33331]","[21.1357, 20.8445, 16.1741, 13.1166, 8.305]",5,5,[],[],True,38515,1.5466,38515,1.5503,"[38515, 25790, 34321, 29095, 30086]","[1.5466, 1.2478, 1.0164, 0.9171, 0.8867]","[38515, 25790, 34321, 29095, 30086]","[1.5503, 1.1708, 0.9951, 0.9392, 0.8783]",5,5,[],[],0.9448,0.3785,0.000228,43353,0.1856,0.564,0.3785,25911,0.4549,0.7579,0.303,6405,0.3126,0.581,0.2684,46187,0.6438,0.874,0.2302,48287,0.7294,0.5638,0.1656
17,Abyssinian_114.jpg,/home/sunayana/Documents/Concept_LoRA/data/OxfordPets/images/Abyssinian_114.jpg,False,2099,20.4182,38459,20.4232,"[2099, 38459, 4594, 41801, 33331]","[20.4182, 20.3718, 15.5464, 12.2537, 8.3683]","[38459, 2099, 4594, 41801, 33331]","[20.4232, 20.4222, 15.4655, 12.1785, 8.4417]",5,5,[],[],True,31344,2.2437,31344,2.1394,"[31344, 38515, 25790, 25702, 34321]","[2.2437, 1.6603, 1.0462, 1.0358, 1.0116]","[31344, 38515, 25790, 34321, 25702]","[2.1394, 1.6266, 1.0517, 1.0365, 0.987]",5,5,[],[],0.6069,0.1543,0.000164,12321,0.6143,0.46,0.1543,37446,0.4802,0.3571,0.1231,16914,0.1381,0.0165,0.1216,34151,0.5883,0.4685,0.1198,4477,0.0,0.107,0.107
18,Abyssinian_115.jpg,/home/sunayana/Documents/Concept_LoRA/data/OxfordPets/images/Abyssinian_115.jpg,True,38459,19.6567,38459,19.857,"[38459, 2099, 4594, 41801, 33331]","[19.6567, 19.3141, 13.8092, 10.9949, 8.0675]","[38459, 2099, 4594, 41801, 33331]","[19.857, 19.6366, 14.2316, 11.4126, 8.1736]",5,5,[],[],True,38515,1.4612,38515,1.4539,"[38515, 29767, 34321, 8325, 31199]","[1.4612, 0.9591, 0.9314, 0.8187, 0.8087]","[38515, 29767, 34321, 31199, 8325]","[1.4539, 0.9616, 0.9501, 0.8591, 0.8044]",5,5,[],[],0.5266,0.138,0.000133,27464,0.138,0.0,0.138,3477,0.1125,0.0169,0.0956,46475,0.4342,0.3398,0.0944,40157,0.764,0.674,0.0899,13893,0.1768,0.0952,0.0816
19,Abyssinian_116.jpg,/home/sunayana/Documents/Concept_LoRA/data/OxfordPets/images/Abyssinian_116.jpg,True,2099,21.2984,2099,21.9111,"[2099, 38459, 4594, 41801, 33331]","[21.2984, 21.2544, 15.4825, 13.3137, 8.5888]","[2099, 38459, 4594, 41801, 33331]","[21.9111, 21.7477, 15.9331, 13.9031, 8.8341]",5,5,[],[],True,38515,1.6301,38515,1.6081,"[38515, 25790, 19794, 34321, 20496]","[1.6301, 0.9711, 0.8383, 0.8054, 0.7248]","[38515, 25790, 19794, 34321, 23127]","[1.6081, 0.9444, 0.9034, 0.7801, 0.7363]",4,4,[20496],[23127],0.4621,0.1084,0.000122,12796,0.2424,0.1339,0.1084,14337,0.1771,0.0704,0.1067,25081,0.0,0.0813,0.0813,42716,0.079,0.1463,0.0673,44040,0.0596,0.1263,0.0667
