image_idx,image_name,image_path,global_top1_same,global_base_top1_neuron,global_base_top1_act,global_lora_top1_neuron,global_lora_top1_act,global_base_top5,global_base_top5_acts,global_lora_top5,global_lora_top5_acts,global_top5_overlap,global_top5_overlap,global_unique_to_base,global_unique_to_lora,patch88_top1_same,patch88_base_top1_neuron,patch88_base_top1_act,patch88_lora_top1_neuron,patch88_lora_top1_act,patch88_base_top5,patch88_base_top5_acts,patch88_lora_top5,patch88_lora_top5_acts,patch88_top5_overlap,patch88_top5_overlap,patch88_unique_to_base,patch88_unique_to_lora,patch88_l2_diff,patch88_max_abs_diff,patch88_mean_abs_diff,patch88_changed1_neuron,patch88_changed1_base,patch88_changed1_lora,patch88_changed1_delta,patch88_changed2_neuron,patch88_changed2_base,patch88_changed2_lora,patch88_changed2_delta,patch88_changed3_neuron,patch88_changed3_base,patch88_changed3_lora,patch88_changed3_delta,patch88_changed4_neuron,patch88_changed4_base,patch88_changed4_lora,patch88_changed4_delta,patch88_changed5_neuron,patch88_changed5_base,patch88_changed5_lora,patch88_changed5_delta
10,AnnualCrop_1007.jpg,/home/sunayana/Documents/Concept_LoRA/data/eurosat/2750/AnnualCrop/AnnualCrop_1007.jpg,True,2099,20.9163,2099,21.1401,"[2099, 38459, 4594, 41801, 33331]","[20.9163, 20.6326, 16.5982, 13.0516, 8.8039]","[2099, 38459, 4594, 41801, 33331]","[21.1401, 20.9438, 16.4916, 13.3835, 8.5545]",5,5,[],[],False,39589,7.7663,8403,6.2028,"[39589, 8403, 15485, 133, 3874]","[7.7663, 7.1226, 5.805, 4.2634, 3.6215]","[8403, 39589, 15485, 16094, 133]","[6.2028, 5.7773, 3.3107, 2.1059, 1.4261]",4,4,[3874],[16094],7.7141,2.8373,0.00331,133,4.2634,1.4261,2.8373,3874,3.6215,0.9246,2.6969,15485,5.805,3.3107,2.4944,39589,7.7663,5.7773,1.989,38459,1.1957,0.0,1.1957
11,AnnualCrop_1008.jpg,/home/sunayana/Documents/Concept_LoRA/data/eurosat/2750/AnnualCrop/AnnualCrop_1008.jpg,True,2099,21.3546,2099,21.3319,"[2099, 38459, 4594, 41801, 33331]","[21.3546, 20.8861, 16.7825, 13.3735, 8.854]","[2099, 38459, 4594, 41801, 33331]","[21.3319, 21.1238, 16.4907, 13.4754, 8.7385]",5,5,[],[],False,29833,1.292,38515,1.2411,"[29833, 25790, 28763, 48010, 36131]","[1.292, 0.8909, 0.8647, 0.8467, 0.7722]","[38515, 34321, 43358, 49029, 25790]","[1.2411, 1.2111, 1.1148, 1.008, 0.9894]",1,1,"[28763, 29833, 36131, 48010]","[34321, 38515, 43358, 49029]",4.5008,1.292,0.001246,29833,1.292,0.0,1.292,43358,0.0,1.1148,1.1148,49029,0.0,1.008,1.008,28763,0.8647,0.0,0.8647,48010,0.8467,0.0,0.8467
12,AnnualCrop_1009.jpg,/home/sunayana/Documents/Concept_LoRA/data/eurosat/2750/AnnualCrop/AnnualCrop_1009.jpg,True,38459,19.9972,38459,20.1919,"[38459, 2099, 4594, 41801, 33331]","[19.9972, 19.6341, 14.4207, 11.4095, 8.4295]","[38459, 2099, 4594, 41801, 33331]","[20.1919, 19.6301, 14.0548, 11.5007, 8.1367]",5,5,[],[],True,38515,0.8433,38515,1.3556,"[38515, 34321, 25831, 25790, 524]","[0.8433, 0.6778, 0.6665, 0.6586, 0.5807]","[38515, 25790, 36126, 34321, 19999]","[1.3556, 1.1488, 1.1082, 1.0511, 0.8728]",3,3,"[524, 25831]","[19999, 36126]",4.3952,0.9061,0.001415,36126,0.2021,1.1082,0.9061,24976,0.0,0.8438,0.8438,40545,0.1957,0.8635,0.6678,524,0.5807,0.0,0.5807,22170,0.0,0.5732,0.5732
13,AnnualCrop_101.jpg,/home/sunayana/Documents/Concept_LoRA/data/eurosat/2750/AnnualCrop/AnnualCrop_101.jpg,True,2099,21.9229,2099,22.8264,"[2099, 38459, 4594, 41801, 33331]","[21.9229, 21.3656, 17.3904, 14.2256, 9.1282]","[2099, 38459, 4594, 41801, 33331]","[22.8264, 22.2691, 17.6639, 14.5085, 9.7796]",5,5,[],[],True,38515,1.1379,38515,1.2591,"[38515, 25790, 15476, 34321, 19999]","[1.1379, 0.9062, 0.7694, 0.6968, 0.5703]","[38515, 34321, 25790, 45271, 8508]","[1.2591, 0.9127, 0.8655, 0.7909, 0.7783]",3,3,"[15476, 19999]","[8508, 45271]",3.3204,0.7783,0.00095,8508,0.0,0.7783,0.7783,15476,0.7694,0.0,0.7694,45271,0.053,0.7909,0.7379,39090,0.0,0.6947,0.6947,47324,0.0,0.6164,0.6164
14,AnnualCrop_1010.jpg,/home/sunayana/Documents/Concept_LoRA/data/eurosat/2750/AnnualCrop/AnnualCrop_1010.jpg,True,2099,22.0891,2099,22.9393,"[2099, 38459, 4594, 41801, 33331]","[22.0891, 21.3882, 17.307, 14.146, 9.1306]","[2099, 38459, 4594, 41801, 33331]","[22.9393, 22.2895, 17.7348, 15.0445, 9.2095]",5,5,[],[],False,34165,0.73,38515,1.194,"[34165, 38515, 35593, 18550, 40665]","[0.73, 0.6257, 0.5892, 0.575, 0.5608]","[38515, 19794, 25790, 19999, 36126]","[1.194, 1.0355, 0.9217, 0.8962, 0.8857]",1,1,"[18550, 34165, 35593, 40665]","[19794, 19999, 25790, 36126]",4.2084,0.9007,0.001257,19794,0.1348,1.0355,0.9007,36126,0.0,0.8857,0.8857,17271,0.0,0.7321,0.7321,34165,0.73,0.0,0.73,35593,0.5892,0.0,0.5892
15,AnnualCrop_1011.jpg,/home/sunayana/Documents/Concept_LoRA/data/eurosat/2750/AnnualCrop/AnnualCrop_1011.jpg,True,38459,18.2979,38459,19.4128,"[38459, 2099, 4594, 41801, 33331]","[18.2979, 18.0731, 13.7811, 10.3799, 7.3569]","[38459, 2099, 4594, 41801, 33331]","[19.4128, 19.1976, 14.2983, 10.9778, 8.0358]",5,5,[],[],True,38515,1.4118,38515,1.3326,"[38515, 39090, 14350, 34321, 25790]","[1.4118, 1.2787, 0.9651, 0.9468, 0.9026]","[38515, 34321, 23067, 36126, 40545]","[1.3326, 0.9474, 0.857, 0.8515, 0.8261]",2,2,"[14350, 25790, 39090]","[23067, 36126, 40545]",4.3057,1.2787,0.00179,39090,1.2787,0.0,1.2787,23218,0.6671,0.0,0.6671,37677,0.131,0.7189,0.588,15895,0.5839,0.0,0.5839,14350,0.9651,0.4001,0.565
16,AnnualCrop_1012.jpg,/home/sunayana/Documents/Concept_LoRA/data/eurosat/2750/AnnualCrop/AnnualCrop_1012.jpg,False,38459,20.9854,2099,21.9226,"[38459, 2099, 4594, 41801, 33331]","[20.9854, 20.8586, 15.611, 12.4928, 9.018]","[2099, 38459, 4594, 41801, 33331]","[21.9226, 21.7489, 16.2051, 13.9778, 8.981]",5,5,[],[],False,25790,1.0795,38515,1.5953,"[25790, 38515, 27607, 29095, 34321]","[1.0795, 0.9955, 0.7246, 0.6704, 0.5889]","[38515, 13248, 25790, 8557, 30814]","[1.5953, 1.4698, 1.3176, 1.2754, 0.9672]",2,2,"[27607, 29095, 34321]","[8557, 13248, 30814]",5.3797,1.4698,0.001805,13248,0.0,1.4698,1.4698,8557,0.0,1.2754,1.2754,47850,0.0,0.8994,0.8994,36126,0.0,0.8992,0.8992,19999,0.149,0.9323,0.7833
17,AnnualCrop_1013.jpg,/home/sunayana/Documents/Concept_LoRA/data/eurosat/2750/AnnualCrop/AnnualCrop_1013.jpg,True,38459,20.2417,38459,20.9639,"[38459, 2099, 4594, 41801, 33331]","[20.2417, 20.171, 15.0286, 12.1832, 8.5799]","[38459, 2099, 4594, 41801, 33331]","[20.9639, 20.8641, 15.0415, 12.6047, 8.6958]",5,5,[],[],True,38515,1.1647,38515,1.2114,"[38515, 25790, 40669, 36131, 15358]","[1.1647, 0.9919, 0.6947, 0.6563, 0.6547]","[38515, 25790, 40545, 34321, 19999]","[1.2114, 1.0706, 0.9377, 0.853, 0.7561]",2,2,"[15358, 36131, 40669]","[19999, 34321, 40545]",3.2757,0.7068,0.001037,48862,0.0,0.7068,0.7068,40669,0.6947,0.0,0.6947,36131,0.6563,0.1193,0.5369,9889,0.5163,0.0,0.5163,5852,0.0,0.4915,0.4915
18,AnnualCrop_1014.jpg,/home/sunayana/Documents/Concept_LoRA/data/eurosat/2750/AnnualCrop/AnnualCrop_1014.jpg,False,38459,19.6141,2099,20.431,"[38459, 2099, 4594, 41801, 33331]","[19.6141, 19.3144, 14.4005, 11.3119, 8.3821]","[2099, 38459, 4594, 41801, 33331]","[20.431, 20.4062, 14.9697, 12.5999, 8.3122]",5,5,[],[],False,45147,2.869,38515,1.3171,"[45147, 20937, 38207, 40593, 40547]","[2.869, 1.1367, 1.0252, 0.8927, 0.8338]","[38515, 39090, 19999, 32699, 42949]","[1.3171, 1.0783, 1.0129, 0.9221, 0.8636]",0,0,"[20937, 38207, 40547, 40593, 45147]","[19999, 32699, 38515, 39090, 42949]",5.8622,2.6792,0.001647,45147,2.869,0.1897,2.6792,20937,1.1367,0.0,1.1367,39090,0.0,1.0783,1.0783,38207,1.0252,0.0,1.0252,32699,0.0,0.9221,0.9221
19,AnnualCrop_1015.jpg,/home/sunayana/Documents/Concept_LoRA/data/eurosat/2750/AnnualCrop/AnnualCrop_1015.jpg,True,2099,21.5603,2099,20.9939,"[2099, 38459, 4594, 41801, 33331]","[21.5603, 21.1371, 16.951, 13.8689, 8.8591]","[2099, 38459, 4594, 41801, 33331]","[20.9939, 20.7621, 16.1966, 13.575, 8.3289]",5,5,[],[],False,1215,1.2985,38515,1.6732,"[1215, 38515, 25790, 34321, 29095]","[1.2985, 1.2592, 1.0624, 0.877, 0.8178]","[38515, 34321, 25790, 19999, 40545]","[1.6732, 1.2062, 1.2049, 1.1218, 1.1098]",3,3,"[1215, 29095]","[19999, 40545]",5.0915,1.24,0.001903,1215,1.2985,0.0585,1.24,32698,0.0,0.9892,0.9892,4178,0.0,0.9296,0.9296,13386,0.0,0.8904,0.8904,36126,0.0,0.8538,0.8538
