image_idx,image_name,level,rank,base_neuron,base_act,lora_neuron,lora_act,match,base_neuron_in_lora_rank,lora_neuron_in_base_rank
7,AnnualCrop_1004.jpg,global,4,41801,11.4041,41801,12.7329,True,4,4
7,AnnualCrop_1004.jpg,global,5,33331,8.7438,33331,9.0618,True,5,5
7,AnnualCrop_1004.jpg,patch88,1,38515,0.9189,38515,1.1897,True,1,1
7,AnnualCrop_1004.jpg,patch88,2,25790,0.7596,40545,0.9387,False,3,
7,AnnualCrop_1004.jpg,patch88,3,16807,0.7312,25790,0.9319,False,,2
7,AnnualCrop_1004.jpg,patch88,4,29095,0.6346,4178,0.8418,False,,
7,AnnualCrop_1004.jpg,patch88,5,27607,0.5544,49029,0.7454,False,,
8,AnnualCrop_1005.jpg,global,1,2099,22.0064,2099,22.572,True,1,1
8,AnnualCrop_1005.jpg,global,2,38459,21.4427,38459,22.0137,True,2,2
8,AnnualCrop_1005.jpg,global,3,4594,17.219,4594,17.2317,True,3,3
8,AnnualCrop_1005.jpg,global,4,41801,14.1947,41801,14.3608,True,4,4
8,AnnualCrop_1005.jpg,global,5,33331,8.9982,33331,9.2085,True,5,5
8,AnnualCrop_1005.jpg,patch88,1,38515,1.0551,760,1.374,False,2,
8,AnnualCrop_1005.jpg,patch88,2,25790,0.9942,38515,1.3014,False,3,1
8,AnnualCrop_1005.jpg,patch88,3,9264,0.9835,25790,1.191,False,,2
8,AnnualCrop_1005.jpg,patch88,4,34321,0.7628,19999,0.7735,False,5,
8,AnnualCrop_1005.jpg,patch88,5,19794,0.6951,34321,0.7504,False,,4
9,AnnualCrop_1006.jpg,global,1,2099,21.3391,2099,21.6941,True,1,1
9,AnnualCrop_1006.jpg,global,2,38459,20.8433,38459,21.4873,True,2,2
9,AnnualCrop_1006.jpg,global,3,4594,16.9389,4594,17.0707,True,3,3
9,AnnualCrop_1006.jpg,global,4,41801,13.2199,41801,13.9469,True,4,4
9,AnnualCrop_1006.jpg,global,5,33331,8.7654,33331,8.6707,True,5,5
9,AnnualCrop_1006.jpg,patch88,1,13248,1.8135,13248,2.7811,True,1,1
9,AnnualCrop_1006.jpg,patch88,2,23656,1.0437,38515,1.5253,False,,4
9,AnnualCrop_1006.jpg,patch88,3,25790,1.0278,25790,1.0364,True,3,3
9,AnnualCrop_1006.jpg,patch88,4,38515,0.9598,34321,1.0215,False,2,
9,AnnualCrop_1006.jpg,patch88,5,3301,0.8629,3301,0.891,True,5,5
10,AnnualCrop_1007.jpg,global,1,2099,20.9163,2099,21.1401,True,1,1
10,AnnualCrop_1007.jpg,global,2,38459,20.6326,38459,20.9438,True,2,2
10,AnnualCrop_1007.jpg,global,3,4594,16.5982,4594,16.4916,True,3,3
10,AnnualCrop_1007.jpg,global,4,41801,13.0516,41801,13.3835,True,4,4
10,AnnualCrop_1007.jpg,global,5,33331,8.8039,33331,8.5545,True,5,5
10,AnnualCrop_1007.jpg,patch88,1,39589,7.7663,8403,6.2028,False,2,2
10,AnnualCrop_1007.jpg,patch88,2,8403,7.1226,39589,5.7773,False,1,1
10,AnnualCrop_1007.jpg,patch88,3,15485,5.805,15485,3.3107,True,3,3
