image_idx,image_name,image_path,global_top1_same,global_base_top1_neuron,global_base_top1_act,global_lora_top1_neuron,global_lora_top1_act,global_base_top5,global_base_top5_acts,global_lora_top5,global_lora_top5_acts,global_top5_overlap,global_top5_overlap,global_unique_to_base,global_unique_to_lora,patch88_top1_same,patch88_base_top1_neuron,patch88_base_top1_act,patch88_lora_top1_neuron,patch88_lora_top1_act,patch88_base_top5,patch88_base_top5_acts,patch88_lora_top5,patch88_lora_top5_acts,patch88_top5_overlap,patch88_top5_overlap,patch88_unique_to_base,patch88_unique_to_lora,patch88_l2_diff,patch88_max_abs_diff,patch88_mean_abs_diff,patch88_changed1_neuron,patch88_changed1_base,patch88_changed1_lora,patch88_changed1_delta,patch88_changed2_neuron,patch88_changed2_base,patch88_changed2_lora,patch88_changed2_delta,patch88_changed3_neuron,patch88_changed3_base,patch88_changed3_lora,patch88_changed3_delta,patch88_changed4_neuron,patch88_changed4_base,patch88_changed4_lora,patch88_changed4_delta,patch88_changed5_neuron,patch88_changed5_base,patch88_changed5_lora,patch88_changed5_delta
10,img_000010_label8,img_000010_label8,True,2099,24.4043,2099,24.2047,"[2099, 38459, 4594, 41801, 33331]","[24.4043, 23.2749, 18.9396, 16.4805, 9.8588]","[2099, 38459, 4594, 41801, 33331]","[24.2047, 23.4287, 18.6453, 16.2943, 9.9644]",5,5,[],[],True,38515,0.8427,38515,1.2965,"[38515, 25790, 35062, 14350, 3150]","[0.8427, 0.7572, 0.6951, 0.6925, 0.5503]","[38515, 11714, 18092, 25702, 5336]","[1.2965, 0.7767, 0.7229, 0.6828, 0.67]",1,1,"[3150, 14350, 25790, 35062]","[5336, 11714, 18092, 25702]",3.8465,0.7767,0.001302,11714,0.0,0.7767,0.7767,18092,0.0,0.7229,0.7229,35062,0.6951,0.0,0.6951,14350,0.6925,0.0,0.6925,34491,0.0,0.5599,0.5599
11,img_000011_label6,img_000011_label6,True,2099,23.2335,2099,24.1299,"[2099, 38459, 4594, 41801, 33331]","[23.2335, 22.3484, 18.0374, 15.134, 9.2295]","[2099, 38459, 4594, 41801, 33331]","[24.1299, 23.3753, 18.6672, 15.866, 9.9544]",5,5,[],[],False,21338,1.9378,35254,4.1099,"[21338, 5969, 38515, 9470, 36131]","[1.9378, 1.398, 1.2093, 0.8957, 0.8682]","[35254, 35363, 35957, 38515, 25790]","[4.1099, 2.5257, 1.6624, 1.3269, 1.1301]",1,1,"[5969, 9470, 21338, 36131]","[25790, 35254, 35363, 35957]",6.5462,3.7165,0.001581,35254,0.3933,4.1099,3.7165,35363,0.3756,2.5257,2.1501,21338,1.9378,0.0,1.9378,35957,0.0,1.6624,1.6624,5969,1.398,0.0,1.398
12,img_000012_label8,img_000012_label8,False,38459,19.0276,2099,21.5411,"[38459, 2099, 4594, 41801, 33331]","[19.0276, 18.7749, 13.7818, 10.6862, 8.0143]","[2099, 38459, 4594, 41801, 33331]","[21.5411, 21.4632, 16.1624, 13.5789, 9.1891]",5,5,[],[],False,25790,0.9787,38515,1.5488,"[25790, 38515, 15358, 27607, 16439]","[0.9787, 0.8444, 0.596, 0.5809, 0.5599]","[38515, 25790, 34491, 34321, 25702]","[1.5488, 1.1499, 0.839, 0.7844, 0.703]",2,2,"[15358, 16439, 27607]","[25702, 34321, 34491]",3.3794,0.7587,0.0011,34491,0.0803,0.839,0.7587,38515,0.8444,1.5488,0.7044,15358,0.596,0.0,0.596,9889,0.525,0.0,0.525,32425,0.0,0.4995,0.4995
13,img_000013_label6,img_000013_label6,False,38459,20.1744,2099,23.0154,"[38459, 2099, 4594, 41801, 33331]","[20.1744, 19.9475, 14.1573, 11.9935, 8.5983]","[2099, 38459, 4594, 41801, 33331]","[23.0154, 22.7291, 16.8967, 14.9552, 9.9903]",5,5,[],[],True,38459,7.1159,38459,5.6682,"[38459, 133, 3874, 15485, 39589]","[7.1159, 6.782, 6.2993, 5.7647, 4.8654]","[38459, 133, 15485, 39589, 3874]","[5.6682, 4.8665, 4.6306, 4.6025, 4.5239]",5,5,[],[],6.478,1.9155,0.002749,133,6.782,4.8665,1.9155,3874,6.2993,4.5239,1.7754,38459,7.1159,5.6682,1.4477,2099,4.7138,3.2974,1.4163,15485,5.7647,4.6306,1.1341
14,img_000014_label0,img_000014_label0,True,38459,19.74,38459,20.3165,"[38459, 2099, 4594, 41801, 33331]","[19.74, 19.6164, 15.4225, 11.2058, 8.2009]","[38459, 2099, 4594, 41801, 33331]","[20.3165, 20.1793, 15.8088, 11.5819, 8.6079]",5,5,[],[],True,38515,1.2939,38515,1.1076,"[38515, 27749, 25790, 30806, 24599]","[1.2939, 1.2935, 1.2658, 1.1104, 1.0823]","[38515, 25790, 27749, 34321, 12349]","[1.1076, 1.0235, 0.7527, 0.751, 0.7199]",3,3,"[24599, 30806]","[12349, 34321]",3.1927,1.1104,0.000881,30806,1.1104,0.0,1.1104,24599,1.0823,0.1187,0.9636,12349,0.0,0.7199,0.7199,41005,0.6664,0.0,0.6664,26323,0.0,0.5817,0.5817
15,img_000015_label5,img_000015_label5,True,38459,18.8788,38459,19.418,"[38459, 2099, 4594, 41801, 33331]","[18.8788, 18.8005, 14.2326, 10.7801, 8.0129]","[38459, 2099, 4594, 41801, 33331]","[19.418, 19.3175, 14.6062, 11.1827, 8.1333]",5,5,[],[],True,38515,1.3527,38515,1.6012,"[38515, 19358, 1527, 25790, 34321]","[1.3527, 1.052, 0.7357, 0.7342, 0.72]","[38515, 25790, 14809, 33423, 9889]","[1.6012, 1.2213, 0.8008, 0.7803, 0.7737]",2,2,"[1527, 19358, 34321]","[9889, 14809, 33423]",3.923,1.052,0.001468,19358,1.052,0.0,1.052,33423,0.0,0.7803,0.7803,9889,0.0585,0.7737,0.7152,23729,0.7144,0.1086,0.6058,7556,0.0592,0.5919,0.5327
16,img_000016_label0,img_000016_label0,True,2099,19.5589,2099,20.0822,"[2099, 38459, 4594, 41801, 133]","[19.5589, 19.4935, 15.554, 11.3004, 8.3141]","[2099, 38459, 4594, 41801, 33331]","[20.0822, 19.9532, 15.8822, 11.536, 8.3109]",4,4,[133],[33331],True,39589,6.8574,39589,5.6021,"[39589, 15485, 133, 3874, 8403]","[6.8574, 6.6193, 6.287, 5.8733, 4.4034]","[39589, 15485, 133, 3874, 8403]","[5.6021, 5.1144, 4.9266, 4.5195, 3.6706]",5,5,[],[],4.088,1.5049,0.001313,15485,6.6193,5.1144,1.5049,133,6.287,4.9266,1.3603,3874,5.8733,4.5195,1.3539,39589,6.8574,5.6021,1.2553,38459,3.1969,2.1338,1.0631
17,img_000017_label2,img_000017_label2,True,38459,17.5791,38459,19.5379,"[38459, 2099, 4594, 41801, 133]","[17.5791, 17.3176, 12.7037, 9.2195, 7.1078]","[38459, 2099, 4594, 41801, 33331]","[19.5379, 19.449, 14.3212, 11.3213, 7.812]",4,4,[133],[33331],False,133,6.3772,39589,3.403,"[133, 38459, 15485, 3874, 39589]","[6.3772, 6.3299, 5.6184, 5.6032, 5.0]","[39589, 8403, 15485, 133, 25790]","[3.403, 2.8728, 2.1094, 1.4242, 1.1715]",3,3,"[3874, 38459]","[8403, 25790]",12.4452,6.3299,0.003002,38459,6.3299,0.0,6.3299,133,6.3772,1.4242,4.9531,3874,5.6032,0.7369,4.8664,2099,4.374,0.0,4.374,15485,5.6184,2.1094,3.509
18,img_000018_label0,img_000018_label0,False,38459,19.3717,2099,19.8172,"[38459, 2099, 4594, 41801, 33331]","[19.3717, 19.2967, 15.3139, 10.9191, 8.0249]","[2099, 38459, 4594, 41801, 33331]","[19.8172, 19.8113, 15.6835, 11.4137, 8.1839]",5,5,[],[],False,35322,0.8786,38515,0.9666,"[35322, 38515, 25790, 34321, 29767]","[0.8786, 0.8275, 0.7315, 0.6539, 0.5455]","[38515, 34321, 25790, 42219, 49082]","[0.9666, 0.7672, 0.6652, 0.6466, 0.6178]",3,3,"[29767, 35322]","[42219, 49082]",2.29,0.8786,0.000571,35322,0.8786,0.0,0.8786,43378,0.0,0.4733,0.4733,17257,0.043,0.4479,0.405,35883,0.3712,0.0,0.3712,19227,0.368,0.0,0.368
19,img_000019_label5,img_000019_label5,True,2099,20.5091,2099,21.16,"[2099, 38459, 4594, 41801, 33331]","[20.5091, 20.4627, 15.4542, 12.5154, 8.6564]","[2099, 38459, 4594, 41801, 33331]","[21.16, 21.1482, 15.8665, 13.0578, 8.9702]",5,5,[],[],False,46473,1.6128,38515,1.5616,"[46473, 38515, 25790, 40429, 34491]","[1.6128, 1.0205, 0.6566, 0.5954, 0.5769]","[38515, 34321, 34491, 40429, 16365]","[1.5616, 0.9147, 0.8585, 0.8284, 0.7528]",3,3,"[25790, 46473]","[16365, 34321]",4.2816,1.6128,0.00146,46473,1.6128,0.0,1.6128,10327,0.0,0.6617,0.6617,38515,1.0205,1.5616,0.5411,35605,0.0,0.5383,0.5383,38110,0.0,0.5262,0.5262
