image_idx,image_name,level,rank,base_neuron,base_act,lora_neuron,lora_act,match,base_neuron_in_lora_rank,lora_neuron_in_base_rank
5,v_ApplyEyeMakeup_g01_c06.jpg,patch88,5,23730,0.6007,40305,0.7204,False,,3
6,v_ApplyEyeMakeup_g02_c01.jpg,global,1,2099,20.7561,2099,20.881,True,1,1
6,v_ApplyEyeMakeup_g02_c01.jpg,global,2,38459,20.6762,38459,20.8218,True,2,2
6,v_ApplyEyeMakeup_g02_c01.jpg,global,3,4594,15.7292,4594,15.7051,True,3,3
6,v_ApplyEyeMakeup_g02_c01.jpg,global,4,41801,12.9392,41801,13.0136,True,4,4
6,v_ApplyEyeMakeup_g02_c01.jpg,global,5,33331,8.0242,33331,8.1316,True,5,5
6,v_ApplyEyeMakeup_g02_c01.jpg,patch88,1,17180,2.8935,17180,2.6723,True,1,1
6,v_ApplyEyeMakeup_g02_c01.jpg,patch88,2,26783,1.5476,17843,1.6526,False,,3
6,v_ApplyEyeMakeup_g02_c01.jpg,patch88,3,17843,1.4955,39753,1.4333,False,2,
6,v_ApplyEyeMakeup_g02_c01.jpg,patch88,4,38515,1.4616,38515,1.4089,True,4,4
6,v_ApplyEyeMakeup_g02_c01.jpg,patch88,5,15627,1.3067,34321,1.2751,False,,
7,v_ApplyEyeMakeup_g02_c02.jpg,global,1,2099,20.8672,2099,20.8516,True,1,1
7,v_ApplyEyeMakeup_g02_c02.jpg,global,2,38459,20.7157,38459,20.7734,True,2,2
7,v_ApplyEyeMakeup_g02_c02.jpg,global,3,4594,15.8666,4594,15.6949,True,3,3
7,v_ApplyEyeMakeup_g02_c02.jpg,global,4,41801,12.9792,41801,12.8665,True,4,4
7,v_ApplyEyeMakeup_g02_c02.jpg,global,5,33331,8.2567,33331,8.333,True,5,5
7,v_ApplyEyeMakeup_g02_c02.jpg,patch88,1,38515,1.8367,16104,1.8505,False,2,3
7,v_ApplyEyeMakeup_g02_c02.jpg,patch88,2,39753,1.5448,38515,1.8091,False,3,1
7,v_ApplyEyeMakeup_g02_c02.jpg,patch88,3,16104,1.4509,39753,1.614,False,1,2
7,v_ApplyEyeMakeup_g02_c02.jpg,patch88,4,39517,1.3187,39517,1.4257,True,4,4
7,v_ApplyEyeMakeup_g02_c02.jpg,patch88,5,46026,1.0936,46026,1.0316,True,5,5
8,v_ApplyEyeMakeup_g02_c03.jpg,global,1,2099,21.8357,2099,21.8073,True,1,1
8,v_ApplyEyeMakeup_g02_c03.jpg,global,2,38459,21.5938,38459,21.6088,True,2,2
8,v_ApplyEyeMakeup_g02_c03.jpg,global,3,4594,16.5876,4594,16.4267,True,3,3
8,v_ApplyEyeMakeup_g02_c03.jpg,global,4,41801,13.8873,41801,13.7872,True,4,4
8,v_ApplyEyeMakeup_g02_c03.jpg,global,5,33331,8.7031,33331,8.7471,True,5,5
8,v_ApplyEyeMakeup_g02_c03.jpg,patch88,1,14584,2.2599,14584,2.6244,True,1,1
8,v_ApplyEyeMakeup_g02_c03.jpg,patch88,2,38515,2.0566,38515,2.0268,True,2,2
8,v_ApplyEyeMakeup_g02_c03.jpg,patch88,3,35883,1.3246,25790,1.1851,False,,5
8,v_ApplyEyeMakeup_g02_c03.jpg,patch88,4,34321,1.131,34321,1.1381,True,4,4
8,v_ApplyEyeMakeup_g02_c03.jpg,patch88,5,25790,1.1269,7738,1.1101,False,3,
9,v_ApplyEyeMakeup_g02_c04.jpg,global,1,38459,19.7747,38459,20.0037,True,1,1
9,v_ApplyEyeMakeup_g02_c04.jpg,global,2,2099,19.2388,2099,19.5426,True,2,2
9,v_ApplyEyeMakeup_g02_c04.jpg,global,3,4594,13.7109,4594,13.9198,True,3,3
9,v_ApplyEyeMakeup_g02_c04.jpg,global,4,41801,10.9766,41801,11.2376,True,4,4
9,v_ApplyEyeMakeup_g02_c04.jpg,global,5,33331,8.0449,33331,8.1274,True,5,5
9,v_ApplyEyeMakeup_g02_c04.jpg,patch88,1,38515,1.6003,38515,1.6916,True,1,1
9,v_ApplyEyeMakeup_g02_c04.jpg,patch88,2,36126,1.2773,5288,1.3464,False,4,3
9,v_ApplyEyeMakeup_g02_c04.jpg,patch88,3,5288,1.2488,37416,1.1931,False,2,4
9,v_ApplyEyeMakeup_g02_c04.jpg,patch88,4,37416,1.2365,36126,1.1824,False,3,2
