image_idx,image_name,image_path,global_top1_same,global_base_top1_neuron,global_base_top1_act,global_lora_top1_neuron,global_lora_top1_act,global_base_top5,global_base_top5_acts,global_lora_top5,global_lora_top5_acts,global_top5_overlap,global_top5_overlap,global_unique_to_base,global_unique_to_lora,patch88_top1_same,patch88_base_top1_neuron,patch88_base_top1_act,patch88_lora_top1_neuron,patch88_lora_top1_act,patch88_base_top5,patch88_base_top5_acts,patch88_lora_top5,patch88_lora_top5_acts,patch88_top5_overlap,patch88_top5_overlap,patch88_unique_to_base,patch88_unique_to_lora,patch88_l2_diff,patch88_max_abs_diff,patch88_mean_abs_diff,patch88_changed1_neuron,patch88_changed1_base,patch88_changed1_lora,patch88_changed1_delta,patch88_changed2_neuron,patch88_changed2_base,patch88_changed2_lora,patch88_changed2_delta,patch88_changed3_neuron,patch88_changed3_base,patch88_changed3_lora,patch88_changed3_delta,patch88_changed4_neuron,patch88_changed4_base,patch88_changed4_lora,patch88_changed4_delta,patch88_changed5_neuron,patch88_changed5_base,patch88_changed5_lora,patch88_changed5_delta
10,v_ApplyEyeMakeup_g03_c01.jpg,/home/sunayana/Documents/Concept_LoRA/data/UCF101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g03_c01.jpg,True,2099,22.6538,2099,22.7059,"[2099, 38459, 4594, 41801, 33331]","[22.6538, 22.4841, 16.9051, 14.8416, 9.4238]","[2099, 38459, 4594, 41801, 33331]","[22.7059, 22.5988, 16.7473, 14.7888, 9.5083]",5,5,[],[],True,13027,3.3521,13027,2.8566,"[13027, 3642, 46076, 38515, 16104]","[3.3521, 1.6677, 1.5471, 1.3608, 1.2245]","[13027, 3642, 46076, 38515, 16104]","[2.8566, 1.7401, 1.5654, 1.2524, 1.0913]",5,5,[],[],1.2352,0.4955,0.000295,13027,3.3521,2.8566,0.4955,20398,0.5081,0.8667,0.3586,26522,0.1557,0.4934,0.3377,39753,0.651,0.9681,0.3171,1817,0.2167,0.0161,0.2006
11,v_ApplyEyeMakeup_g03_c02.jpg,/home/sunayana/Documents/Concept_LoRA/data/UCF101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g03_c02.jpg,True,38459,21.6505,38459,21.9183,"[38459, 2099, 4594, 41801, 33331]","[21.6505, 21.5717, 15.4438, 13.3561, 9.2017]","[38459, 2099, 4594, 41801, 33331]","[21.9183, 21.8434, 15.5826, 13.5143, 9.3541]",5,5,[],[],True,13027,4.4092,13027,4.7203,"[13027, 46076, 26522, 38515, 19999]","[4.4092, 2.7933, 1.7553, 1.5106, 1.4039]","[13027, 46076, 26522, 38515, 16104]","[4.7203, 2.8791, 1.8729, 1.506, 1.4993]",4,4,[19999],[16104],1.7333,0.6195,0.00052,3642,0.6308,1.2503,0.6195,20398,0.0,0.5191,0.5191,16104,1.0875,1.4993,0.4118,39753,0.6686,1.0458,0.3772,31761,0.0355,0.3757,0.3401
12,v_ApplyEyeMakeup_g03_c03.jpg,/home/sunayana/Documents/Concept_LoRA/data/UCF101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g03_c03.jpg,True,2099,25.1467,2099,25.4034,"[2099, 38459, 4594, 41801, 33331]","[25.1467, 24.1574, 19.4379, 17.2195, 10.1921]","[2099, 38459, 4594, 41801, 33331]","[25.4034, 24.3921, 19.5303, 17.4096, 10.3458]",5,5,[],[],True,38515,2.0555,38515,2.1766,"[38515, 25790, 34321, 15585, 8325]","[2.0555, 1.7352, 1.2499, 1.1304, 0.9895]","[38515, 25790, 34321, 15585, 8325]","[2.1766, 1.7971, 1.3594, 1.1025, 1.0414]",5,5,[],[],0.7845,0.1597,0.00026,6578,0.9789,0.8193,0.1597,30855,0.4454,0.589,0.1436,38515,2.0555,2.1766,0.1211,34321,1.2499,1.3594,0.1095,30116,0.0608,0.1674,0.1066
13,v_ApplyEyeMakeup_g03_c04.jpg,/home/sunayana/Documents/Concept_LoRA/data/UCF101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g03_c04.jpg,True,2099,23.671,2099,23.9873,"[2099, 38459, 4594, 41801, 33331]","[23.671, 23.1293, 17.6, 15.7222, 9.9601]","[2099, 38459, 4594, 41801, 33331]","[23.9873, 23.4254, 17.7924, 15.895, 10.1284]",5,5,[],[],True,46076,2.2452,46076,2.3116,"[46076, 38515, 26522, 19999, 34321]","[2.2452, 1.4523, 1.0956, 0.9277, 0.898]","[46076, 38515, 19999, 26522, 34321]","[2.3116, 1.364, 0.9415, 0.9282, 0.8742]",5,5,[],[],1.1808,0.3905,0.000326,23509,0.7332,0.3426,0.3905,19344,0.2854,0.0606,0.2248,40328,0.2085,0.0051,0.2034,1682,0.1971,0.0,0.1971,40713,0.287,0.095,0.192
14,v_ApplyEyeMakeup_g03_c05.jpg,/home/sunayana/Documents/Concept_LoRA/data/UCF101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g03_c05.jpg,False,2099,22.1108,38459,21.7166,"[2099, 38459, 4594, 41801, 33331]","[22.1108, 22.0478, 16.1674, 13.6676, 9.3415]","[38459, 2099, 4594, 41801, 33331]","[21.7166, 21.5733, 15.4966, 12.9462, 9.2726]",5,5,[],[],True,38515,1.8377,38515,1.9034,"[38515, 34321, 25790, 41980, 21251]","[1.8377, 1.0839, 1.082, 0.8844, 0.8661]","[38515, 34321, 25790, 6457, 34605]","[1.9034, 1.1305, 0.9765, 0.9478, 0.8961]",3,3,"[21251, 41980]","[6457, 34605]",0.9067,0.1396,0.00032,30116,0.1544,0.294,0.1396,37679,0.0313,0.1668,0.1355,6457,0.8162,0.9478,0.1316,9661,0.1712,0.2922,0.121,21864,0.2545,0.3706,0.1161
15,v_ApplyEyeMakeup_g03_c06.jpg,/home/sunayana/Documents/Concept_LoRA/data/UCF101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g03_c06.jpg,True,2099,21.8079,2099,22.1243,"[2099, 38459, 4594, 41801, 33331]","[21.8079, 21.6512, 15.7755, 13.413, 9.1568]","[2099, 38459, 4594, 41801, 33331]","[22.1243, 22.0045, 15.7299, 13.6076, 9.4521]",5,5,[],[],True,38515,1.7021,38515,1.7811,"[38515, 25790, 34321, 8325, 34605]","[1.7021, 1.5633, 1.0283, 0.9997, 0.8628]","[38515, 25790, 34321, 8325, 19999]","[1.7811, 1.5748, 1.0832, 1.0242, 0.8988]",4,4,[34605],[19999],0.7227,0.1379,0.000203,18711,0.4048,0.5427,0.1379,42219,0.4779,0.6065,0.1286,19429,0.3038,0.4169,0.1131,9895,0.1457,0.253,0.1074,2158,0.3045,0.407,0.1025
16,v_ApplyEyeMakeup_g04_c01.jpg,/home/sunayana/Documents/Concept_LoRA/data/UCF101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g04_c01.jpg,True,2099,21.8054,2099,21.6826,"[2099, 38459, 4594, 41801, 33331]","[21.8054, 21.7161, 16.3438, 13.8365, 9.0641]","[2099, 38459, 4594, 41801, 33331]","[21.6826, 21.6619, 16.0933, 13.6453, 9.0491]",5,5,[],[],True,38515,1.3727,38515,1.3317,"[38515, 47591, 29095, 34321, 25790]","[1.3727, 0.959, 0.9531, 0.9502, 0.8396]","[38515, 47591, 34321, 29095, 19999]","[1.3317, 1.2693, 0.9999, 0.9488, 0.8919]",4,4,[25790],[19999],1.2345,0.6355,0.00026,12257,0.8023,0.1667,0.6355,47591,0.959,1.2693,0.3103,19290,0.4511,0.7492,0.2981,26871,0.5358,0.7816,0.2458,3171,0.1712,0.3624,0.1912
17,v_ApplyEyeMakeup_g04_c02.jpg,/home/sunayana/Documents/Concept_LoRA/data/UCF101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g04_c02.jpg,True,2099,21.8976,2099,22.0093,"[2099, 38459, 4594, 41801, 33331]","[21.8976, 21.5465, 17.0496, 14.3133, 8.7051]","[2099, 38459, 4594, 41801, 33331]","[22.0093, 21.6572, 17.0635, 14.3858, 8.7446]",5,5,[],[],True,20398,1.902,20398,1.7577,"[20398, 44568, 34321, 46192, 38515]","[1.902, 1.6811, 1.5626, 1.5359, 1.5011]","[20398, 44568, 34321, 38515, 25790]","[1.7577, 1.6008, 1.5042, 1.4156, 1.3492]",4,4,[46192],[25790],1.4892,0.5046,0.000423,46192,1.5359,1.0313,0.5046,8944,0.1961,0.5588,0.3627,21708,0.2149,0.5051,0.2902,21553,1.3003,1.0229,0.2773,16221,0.1021,0.3745,0.2724
18,v_ApplyEyeMakeup_g04_c03.jpg,/home/sunayana/Documents/Concept_LoRA/data/UCF101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g04_c03.jpg,True,2099,21.9441,2099,22.1367,"[2099, 38459, 4594, 41801, 33331]","[21.9441, 21.7123, 17.0806, 13.7738, 8.927]","[2099, 38459, 4594, 41801, 33331]","[22.1367, 21.9171, 17.1092, 13.8644, 9.0316]",5,5,[],[],False,36126,1.4133,38515,1.4276,"[36126, 38515, 25790, 19999, 7419]","[1.4133, 1.3811, 1.1402, 0.9191, 0.8294]","[38515, 36126, 25790, 19999, 34321]","[1.4276, 1.1479, 1.1341, 0.9507, 0.8202]",4,4,[7419],[34321],0.8843,0.3815,0.000196,41134,0.7935,0.412,0.3815,7419,0.8294,0.5229,0.3065,36126,1.4133,1.1479,0.2655,18288,0.8048,0.6214,0.1834,33820,0.5289,0.3608,0.1681
19,v_ApplyEyeMakeup_g04_c04.jpg,/home/sunayana/Documents/Concept_LoRA/data/UCF101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g04_c04.jpg,True,38459,20.0992,38459,20.3109,"[38459, 2099, 4594, 41801, 33331]","[20.0992, 19.8292, 14.8502, 11.923, 8.2784]","[38459, 2099, 4594, 41801, 33331]","[20.3109, 20.1043, 15.0437, 12.2073, 8.2962]",5,5,[],[],False,25790,1.7096,38515,1.7734,"[25790, 38515, 5076, 19999, 34321]","[1.7096, 1.7083, 1.122, 0.9838, 0.9333]","[38515, 25790, 5076, 19999, 34321]","[1.7734, 1.6881, 1.191, 1.0392, 0.98]",5,5,[],[],0.702,0.1433,0.000189,49007,0.2188,0.0755,0.1433,21866,0.1938,0.329,0.1352,11341,0.209,0.334,0.125,19794,0.2726,0.3968,0.1242,45183,0.5532,0.435,0.1182
